default,0,Hello world!,
intro,1,It's been a week since I lost my job.,s_brother_face
intro,2,I lasted a few more months using butter...,s_brother_face
intro,3,But I'm too large for chimneys now.,s_brother_face
intro,respintru,Did you get chosen for the factory today?,s_brother_face
respintru,4,No,
respintru,5,...,
intro,6,Nuts,s_brother_face
intro,6,Darn.,s_brother_face
intro,7,"Well, hopefully we have enough for a while.",s_brother_face
intro,respintr1,...,
intro,9,Today sucks.,s_brother_face
intro,10,It's getting late...,s_brother_face
intro,11,If you want to spend that coin nows the time.,s_brother_face
intro,-12,Then lets head home.,s_brother_face
intro,13,INTRO OVER,
respintr1,-8,We have 1 coin left.,
respintr1,7,...,
brother,1,<gghhrrrr>,s_brother_face
brother,2,I'm hungry.,s_brother_face
brother,resphome,Do you want to head home?,s_brother_face
resphome,3,Yes,
resphome,4,No,
brother,-5,Ok lets go.,s_brother_face
brother,-2,Make it snappy.,s_brother_face
brother,-6,HEAD HOME,
brotherFinalCoin,respBrotherCoin,What'd you spend the coin on?,s_brother_face
respBrotherCoin,1,I invested it into a garden.,
respBrotherCoin,2,Decided to keep it.,
respBrotherCoin,3,Played street craps and made some money!,
respBrotherCoin,4,Here's a sandwich.,
respBrotherCoin,7,Listened to Sailor Petes tale about losing his leg.,
respBrotherCoin,11,...I gambled and I lost it all.,
respBrotherCoin,10,Played street craps and flipped the coin into profit.,
respBrotherCoin,11,That's it.,
brotherFinalCoin,11,Smart. We may need it.,s_brother_face
brotherFinalCoin,respBrotherCoin,Nice!,s_brother_face
brotherFinalCoin,4,Oh wow! And It's my favorite. ,s_brother_face
brotherFinalCoin,5,*munch munch munch*,s_brother_face
brotherFinalCoin,respBrotherCoin,Thanks!,s_brother_face
brotherFinalCoin,respBrotherPeteTale,How'd he lose it? Was it a shark like I guessed?,s_brother_face
brotherFinalCoin,8,Davey Jones! Ha!,s_brother_face
brotherFinalCoin,respBrotherCoin,Well that's one mystery solved.,s_brother_face
brotherFinalCoin,11,An investment for later? Ok I'm trusting you.,s_brother_face
brotherFinalCoin,11,Oh.,s_brother_face
brotherFinalCoin,-12,What a day.,s_brother_face
respBrotherPeteTale,8,His battleship sunk in a storm.,
respBrotherPeteTale,7,He says Davey Jones sunk the battleship he was on.,
brotherNightChat,respNightChat,Do you have a plan for us?,s_brother_face
respNightChat,1,I think so,
respNightChat,1,I don't know,
brotherNightChat,2,Ok.,s_brother_face
brotherNightChat,3,I've been playing my flute recently.,s_brother_face
brotherNightChat,4,And I have an idea for tomorrow.,s_brother_face
brotherNightChat,5,...,s_brother_face
brotherNightChat,6,!!!,s_brother_face
brotherNightChat,-7,"Hey, I can't find my watch!!!",s_brother_face
brotherNightChat,8,Ok good its out here.,s_brother_face
brotherNightChat,9,Inside this watch...,s_brother_face
brotherNightChat,10,...is our last photo of Mom and Dad.,s_brother_face
brotherNightChat,11,...,s_brother_face
brotherNightChat,-12,Ok NIGHT,s_brother_face
musicMorning1,1,Okay so the plan is...,s_brother_face
musicMorning1,2,...I'm going to play my flute...,s_brother_face
musicMorning1,3,... and you're going to dance.,s_brother_face
